iso_code,name,population,is_pacific,source
ABW,Aruba,107359.0,False,OWID
AFG,Afghanistan,41454761.0,False,OWID
AGO,Angola,36749906.0,False,OWID
ALB,Albania,2414095.0,False,OWID
AND,Andorra,80856.0,False,OWID
ARE,United Arab Emirates,10483751.0,False,OWID
ARG,Argentina,45538401.0,False,OWID
ARM,Armenia,2964300.0,False,OWID
ATG,Antigua and Barbuda,93316.0,False,OWID
AUS,Australia,26659922.0,False,OWID
AUT,Austria,9131761.0,False,OWID
AZE,Azerbaijan,10153958.0,False,OWID
BDI,Burundi,13689450.0,False,OWID
BEL,Belgium,11779946.0,False,OWID
BEN,Benin,14111034.0,False,OWID
BFA,Burkina Faso,23025776.0,False,OWID
BGD,Bangladesh,171466990.0,False,OWID
BGR,Bulgaria,6446596.0,False,OWID
BHR,Bahrain,1577059.0,False,OWID
BHS,Bahamas,399440.0,False,OWID
BIH,Bosnia and Herzegovina,3185073.0,False,OWID
BLR,Belarus,9178298.0,False,OWID
BLZ,Belize,411106.0,False,OWID
BMU,Bermuda,64698.0,False,OWID
BOL,Bolivia,12244159.0,False,OWID
BRA,Brazil,211140729.0,False,OWID
BRB,Barbados,282336.0,False,OWID
BRN,Brunei,458949.0,False,OWID
BTN,Bhutan,786385.0,False,OWID
BWA,Botswana,2480244.0,False,OWID
CAF,Central African Republic,5152421.0,False,OWID
CAN,Canada,40083484.0,False,OWID
CHE,Switzerland,8888822.0,False,OWID
CHL,Chile,19658835.0,False,OWID
CHN,China,1387290000.0,False,OWID
CIV,Cote d'Ivoire,31165654.0,False,OWID
CMR,Cameroon,28372687.0,False,OWID
COD,Democratic Republic of Congo,105789731.0,False,OWID
COG,Congo,6182885.0,False,OWID
COL,Colombia,52321152.0,False,OWID
COM,Comoros,850387.0,False,OWID
CPV,Cape Verde,522331.0,False,OWID
CRI,Costa Rica,5105525.0,False,OWID
CUB,Cuba,11019931.0,False,OWID
CUW,Curacao,154654.0,False,OWID
CYP,Cyprus,1344976.0,False,OWID
CZE,Czechia,10864042.0,False,OWID
DEU,Germany,83287273.0,False,OWID
DJI,Djibouti,1152944.0,False,OWID
DMA,Dominica,66510.0,False,OWID
DNK,Denmark,6001366.0,False,OWID
DOM,Dominican Republic,11331265.0,False,OWID
DZA,Algeria,46164219.0,False,OWID
ECU,Ecuador,17980083.0,False,OWID
EGY,Egypt,114535772.0,False,OWID
ERI,Eritrea,3470390.0,False,OWID
ESP,Spain,48352528.0,False,OWID
EST,Estonia,1370286.0,False,OWID
ETH,Ethiopia,128691692.0,False,OWID
FIN,Finland,5583911.0,False,OWID
FJI,Fiji,924145.0,True,PDH
FRA,France,68399801.0,False,OWID
FSM,Micronesia (country),112630.0,True,PDH
GAB,Gabon,2484789.0,False,OWID
GBR,United Kingdom,68782327.0,False,OWID
GEO,Georgia,3715483.0,False,OWID
GHA,Ghana,33787914.0,False,OWID
GIN,Guinea,14405468.0,False,OWID
GMB,Gambia,2697845.0,False,OWID
GNB,Guinea-Bissau,2153339.0,False,OWID
GNQ,Equatorial Guinea,1847549.0,False,OWID
GRC,Greece,10407351.0,False,OWID
GRD,Grenada,117081.0,False,OWID
GRL,Greenland,56865.0,False,OWID
GTM,Guatemala,18124838.0,False,OWID
GUY,Guyana,826353.0,False,OWID
HKG,Hong Kong,7536100.0,False,OWID
HND,Honduras,10644851.0,False,OWID
HRV,Croatia,3859686.0,False,OWID
HTI,Haiti,11637398.0,False,OWID
HUN,Hungary,9592186.0,False,OWID
IDN,Indonesia,281190067.0,False,OWID
IND,India,1438069596.0,False,OWID
IRL,Ireland,5311538.0,False,OWID
IRN,Iran,90608707.0,False,OWID
IRQ,Iraq,45074049.0,False,OWID
ISL,Iceland,385663.0,False,OWID
ISR,Israel,9849000.0,False,OWID
ITA,Italy,58984216.0,False,OWID
JAM,Jamaica,2839786.0,False,OWID
JOR,Jordan,11439213.0,False,OWID
JPN,Japan,124516650.0,False,OWID
KAZ,Kazakhstan,20330104.0,False,OWID
KEN,Kenya,55339003.0,False,OWID
KGZ,Kyrgyzstan,7099750.0,False,OWID
KHM,Cambodia,17423880.0,False,OWID
KIR,Kiribati,132530.0,True,PDH
KNA,Saint Kitts and Nevis,46758.0,False,OWID
KOR,South Korea,51712619.0,False,OWID
