run_index,year,lca_ssp_scenario,impact,impact_unit,value,s_p,r_c
0,2019,,GWP_100,kg CO2-eq,1684848389.1515746,Paper,FR
0,2020,,GWP_100,kg CO2-eq,1554777221.66373,Paper,FR
0,2021,,GWP_100,kg CO2-eq,1750248154.37786,Paper,FR
0,2022,,GWP_100,kg CO2-eq,1730516879.825897,Paper,FR
0,2023,,GWP_100,kg CO2-eq,1636837853.0613008,Paper,FR
0,2024,,GWP_100,kg CO2-eq,1572497297.6896179,Paper,FR
0,2025,,GWP_100,kg CO2-eq,1122276146.6521742,Paper,FR
0,2026,SSP2,GWP_100,kg CO2-eq,1185355177.764932,Paper,FR
0,2027,SSP2,GWP_100,kg CO2-eq,1159036422.2299333,Paper,FR
0,2028,SSP2,GWP_100,kg CO2-eq,1132471428.7770422,Paper,FR
0,2029,SSP2,GWP_100,kg CO2-eq,1105772930.247248,Paper,FR
0,2030,SSP2,GWP_100,kg CO2-eq,1079038974.539619,Paper,FR
0,2019,,ODP,kg CFC-11-eq,133352.90480950056,Paper,FR
0,2020,,ODP,kg CFC-11-eq,123057.99155312048,Paper,FR
0,2021,,ODP,kg CFC-11-eq,138529.18578702887,Paper,FR
0,2022,,ODP,kg CFC-11-eq,136967.48872630813,Paper,FR
0,2023,,ODP,kg CFC-11-eq,129552.95195301632,Paper,FR
0,2024,,ODP,kg CFC-11-eq,124460.50564679941,Paper,FR
0,2025,,ODP,kg CFC-11-eq,88826.26182753626,Paper,FR
0,2026,SSP2,ODP,kg CFC-11-eq,93818.86061898654,Paper,FR
0,2027,SSP2,ODP,kg CFC-11-eq,91735.77556269222,Paper,FR
0,2028,SSP2,ODP,kg CFC-11-eq,89633.20119101698,Paper,FR
0,2029,SSP2,ODP,kg CFC-11-eq,87520.060117954,Paper,FR
0,2030,SSP2,ODP,kg CFC-11-eq,85404.11266914166,Paper,FR
0,2019,,PM,Disease incidence,127.66252111633077,Paper,FR
0,2020,,PM,Disease incidence,117.80690842562183,Paper,FR
0,2021,,PM,Disease incidence,132.61792182951186,Paper,FR
0,2022,,PM,Disease incidence,131.12286490310763,Paper,FR
0,2023,,PM,Disease incidence,124.02471838173733,Paper,FR
0,2024,,PM,Disease incidence,119.14957497912522,Paper,FR
0,2025,,PM,Disease incidence,85.03590186086959,Paper,FR
0,2026,SSP2,PM,Disease incidence,89.81545840333405,Paper,FR
0,2027,SSP2,PM,Disease incidence,87.82126194869979,Paper,FR
0,2028,SSP2,PM,Disease incidence,85.80840781922961,Paper,FR
0,2029,SSP2,PM,Disease incidence,83.78543788657562,Paper,FR
0,2030,SSP2,PM,Disease incidence,81.75978133075527,Paper,FR
0,2019,,IR,kBq U-235-eq,130384008969.58589,Paper,FR
0,2020,,IR,kBq U-235-eq,120318296008.33856,Paper,FR
0,2021,,IR,kBq U-235-eq,135445048070.06348,Paper,FR
0,2022,,IR,kBq U-235-eq,133918119775.07309,Paper,FR
0,2023,,IR,kBq U-235-eq,126668656176.69685,Paper,FR
0,2024,,IR,kBq U-235-eq,121689585298.44766,Paper,FR
0,2025,,IR,kBq U-235-eq,86848682714.49278,Paper,FR
0,2026,SSP2,IR,kBq U-235-eq,91730129028.21132,Paper,FR
0,2027,SSP2,IR,kBq U-235-eq,89693420633.6527,Paper,FR
0,2028,SSP2,IR,kBq U-235-eq,87637656823.12793,Paper,FR
0,2029,SSP2,IR,kBq U-235-eq,85571561562.45224,Paper,FR
0,2030,SSP2,IR,kBq U-235-eq,83502722405.63571,Paper,FR
0,2019,,POF,kg NMVOC-eq,100695050.57043919,Paper,FR
0,2020,,POF,kg NMVOC-eq,92921340.56051953,Paper,FR
0,2021,,POF,kg NMVOC-eq,104603670.90040955,Paper,FR
0,2022,,POF,kg NMVOC-eq,103424430.26272248,Paper,FR
0,2023,,POF,kg NMVOC-eq,97825698.41350213,Paper,FR
0,2024,,POF,kg NMVOC-eq,93980381.81493017,Paper,FR
0,2025,,POF,kg NMVOC-eq,67072891.58405799,Paper,FR
0,2026,SSP2,POF,kg NMVOC-eq,70842813.12045921,Paper,FR
