public_row_id,year,asocc_ssp_scenario,impact,reference_year,s_p,r_c
0,2019,,GWP_100,2010,Paper,FR
1,2020,,GWP_100,2010,Paper,FR
2,2021,,GWP_100,2010,Paper,FR
3,2022,,GWP_100,2010,Paper,FR
4,2023,,GWP_100,2010,Paper,FR
5,2024,,GWP_100,2010,Paper,FR
6,2025,,GWP_100,2010,Paper,FR
7,2026,SSP2,GWP_100,2010,Paper,FR
8,2027,SSP2,GWP_100,2010,Paper,FR
9,2028,SSP2,GWP_100,2010,Paper,FR
10,2029,SSP2,GWP_100,2010,Paper,FR
11,2030,SSP2,GWP_100,2010,Paper,FR
12,2019,,ODP,2010,Paper,FR
13,2020,,ODP,2010,Paper,FR
14,2021,,ODP,2010,Paper,FR
15,2022,,ODP,2010,Paper,FR
16,2023,,ODP,2010,Paper,FR
17,2024,,ODP,2010,Paper,FR
18,2025,,ODP,2010,Paper,FR
19,2026,SSP2,ODP,2010,Paper,FR
20,2027,SSP2,ODP,2010,Paper,FR
21,2028,SSP2,ODP,2010,Paper,FR
22,2029,SSP2,ODP,2010,Paper,FR
23,2030,SSP2,ODP,2010,Paper,FR
24,2019,,PM,2010,Paper,FR
25,2020,,PM,2010,Paper,FR
26,2021,,PM,2010,Paper,FR
27,2022,,PM,2010,Paper,FR
28,2023,,PM,2010,Paper,FR
29,2024,,PM,2010,Paper,FR
30,2025,,PM,2010,Paper,FR
31,2026,SSP2,PM,2010,Paper,FR
32,2027,SSP2,PM,2010,Paper,FR
33,2028,SSP2,PM,2010,Paper,FR
34,2029,SSP2,PM,2010,Paper,FR
35,2030,SSP2,PM,2010,Paper,FR
36,2019,,IR,2010,Paper,FR
37,2020,,IR,2010,Paper,FR
38,2021,,IR,2010,Paper,FR
39,2022,,IR,2010,Paper,FR
40,2023,,IR,2010,Paper,FR
41,2024,,IR,2010,Paper,FR
42,2025,,IR,2010,Paper,FR
43,2026,SSP2,IR,2010,Paper,FR
44,2027,SSP2,IR,2010,Paper,FR
45,2028,SSP2,IR,2010,Paper,FR
46,2029,SSP2,IR,2010,Paper,FR
47,2030,SSP2,IR,2010,Paper,FR
48,2019,,POF,2010,Paper,FR
49,2020,,POF,2010,Paper,FR
50,2021,,POF,2010,Paper,FR
51,2022,,POF,2010,Paper,FR
52,2023,,POF,2010,Paper,FR
53,2024,,POF,2010,Paper,FR
54,2025,,POF,2010,Paper,FR
55,2026,SSP2,POF,2010,Paper,FR
56,2027,SSP2,POF,2010,Paper,FR
57,2028,SSP2,POF,2010,Paper,FR
58,2029,SSP2,POF,2010,Paper,FR
59,2030,SSP2,POF,2010,Paper,FR
60,2019,,AC,2010,Paper,FR
61,2020,,AC,2010,Paper,FR
62,2021,,AC,2010,Paper,FR
63,2022,,AC,2010,Paper,FR
64,2023,,AC,2010,Paper,FR
65,2024,,AC,2010,Paper,FR
66,2025,,AC,2010,Paper,FR
67,2026,SSP2,AC,2010,Paper,FR
68,2027,SSP2,AC,2010,Paper,FR
69,2028,SSP2,AC,2010,Paper,FR
70,2029,SSP2,AC,2010,Paper,FR
71,2030,SSP2,AC,2010,Paper,FR
72,2019,,TEU,2010,Paper,FR
73,2020,,TEU,2010,Paper,FR
74,2021,,TEU,2010,Paper,FR
75,2022,,TEU,2010,Paper,FR
76,2023,,TEU,2010,Paper,FR
77,2024,,TEU,2010,Paper,FR
78,2025,,TEU,2010,Paper,FR
79,2026,SSP2,TEU,2010,Paper,FR
80,2027,SSP2,TEU,2010,Paper,FR
81,2028,SSP2,TEU,2010,Paper,FR
82,2029,SSP2,TEU,2010,Paper,FR
83,2030,SSP2,TEU,2010,Paper,FR
84,2019,,FEU,2010,Paper,FR
85,2020,,FEU,2010,Paper,FR
86,2021,,FEU,2010,Paper,FR
87,2022,,FEU,2010,Paper,FR
88,2023,,FEU,2010,Paper,FR
